,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. ],[2. 1. 1. 1. 1. 1. 1. 1. 1. 0. ],[2. 2. 1. 1. 1. 1. 1. 1. 0. 0. ],[2. 2. 2. 1. 1. 1. 1. 0. 0. 0. ],[2. 2. 2. 2. 1. 1. 0. 0. 0. 0. ],[2. 2. 2. 2. 2. 0. 0. 0. 0. 0. ],[3. 1. 1. 1. 1. 1. 1. 1. 0. 0. ],[3. 2. 1. 1. 1. 1. 1. 0. 0. 0. ],[3. 2. 2. 1. 1. 1. 0. 0. 0. 0. ],[3. 2. 2. 2. 1. 0. 0. 0. 0. 0. ],[3. 3. 1. 1. 1. 1. 0. 0. 0. 0. ],[3. 3. 2. 1. 1. 0. 0. 0. 0. 0. ],[3. 3. 2. 2. 0. 0. 0. 0. 0. 0. ],[3. 3. 3. 1. 0. 0. 0. 0. 0. 0. ],[4. 1. 1. 1. 1. 1. 1. 0. 0. 0. ],[4. 2. 1. 1. 1. 1. 0. 0. 0. 0. ],[4. 2. 2. 1. 1. 0. 0. 0. 0. 0. ],[4. 2. 2. 2. 0. 0. 0. 0. 0. 0. ],[4. 3. 1. 1. 1. 0. 0. 0. 0. 0. ],[4. 3. 2. 1. 0. 0. 0. 0. 0. 0. ],[4. 3. 3. 0. 0. 0. 0. 0. 0. 0. ],[4. 4. 1. 1. 0. 0. 0. 0. 0. 0. ],[4. 4. 2. 0. 0. 0. 0. 0. 0. 0. ],[5. 1. 1. 1. 1. 1. 0. 0. 0. 0. ],[5. 2. 1. 1. 1. 0. 0. 0. 0. 0. ],[5. 2. 2. 1. 0. 0. 0. 0. 0. 0. ],[5. 3. 1. 1. 0. 0. 0. 0. 0. 0. ],[5. 3. 2. 0. 0. 0. 0. 0. 0. 0. ],[5. 4. 1. 0. 0. 0. 0. 0. 0. 0. ],[5. 5. 0. 0. 0. 0. 0. 0. 0. 0. ],[6. 1. 1. 1. 1. 0. 0. 0. 0. 0. ],[6. 2. 1. 1. 0. 0. 0. 0. 0. 0. ],[6. 2. 2. 0. 0. 0. 0. 0. 0. 0. ],[6. 3. 1. 0. 0. 0. 0. 0. 0. 0. ],[6. 4. 0. 0. 0. 0. 0. 0. 0. 0. ],[7. 1. 1. 1. 0. 0. 0. 0. 0. 0. ],[7. 2. 1. 0. 0. 0. 0. 0. 0. 0. ],[7. 3. 0. 0. 0. 0. 0. 0. 0. 0. ],[8. 1. 1. 0. 0. 0. 0. 0. 0. 0. ],[8. 2. 0. 0. 0. 0. 0. 0. 0. 0. ],[9. 1. 0. 0. 0. 0. 0. 0. 0. 0. ],[10. 0. 0. 0. 0. 0. 0. 0. 0. 0. ]
[5. 5. 0. 0. 0. 0. 0. 0. 0. 0. ],-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.866666666666667,-0.866666666666667,-1,-1,-1,-0.866666666666667,-1,-0.866666666666667,-0.4,-0.866666666666667,-0.4,-1,-1,-0.933333333333333,-0.933333333333333,-0.6,-0.6,0,-1,-0.933333333333333,-0.644444444444444,-0.644444444444444,0,-0.933333333333333,-0.644444444444444,0,-0.644444444444444,0,0,0.8
[6. 1. 1. 1. 1. 0. 0. 0. 0. 0. ],-1,-1,-1,-1,-0.944444444444444,-0.797619047619048,-1,-1,-0.880952380952381,-0.654761904761905,-0.777777777777778,-0.464285714285714,-0.142857142857143,0.133333333333333,-1,-0.777777777777778,-0.464285714285714,-0.142857142857143,-0.216666666666667,0.133333333333333,0.683333333333333,0.433333333333333,0.683333333333333,-0.622222222222222,-0.216666666666667,0.133333333333333,0.433333333333333,0.683333333333333,0.883333333333333,1,0,0.388888888888889,0.666666666666667,0.883333333333333,1,0.633333333333333,0.838888888888889,1,1,1,1,1
[6. 2. 1. 1. 0. 0. 0. 0. 0. 0. ],-1,-1,-1,-1,-0.963492063492064,-0.861111111111111,-1,-1,-0.922619047619048,-0.775793650793651,-0.861904761904762,-0.675,-0.411904761904762,-0.280952380952381,-1,-0.861904761904762,-0.646428571428571,-0.355952380952381,-0.521428571428571,-0.212301587301587,0.283333333333333,-0,0.363888888888889,-0.777777777777778,-0.48531746031746,-0.143650793650794,-0,0.363888888888889,0.561111111111111,0.933333333333333,-0.388888888888889,0,0.402777777777778,0.530555555555556,0.933333333333333,0.15,0.530555555555556,0.9,0.727777777777778,0.933333333333333,1,1
[6. 2. 2. 0. 0. 0. 0. 0. 0. 0. ],-1,-1,-1,-1,-0.988888888888889,-1,-1,-1,-0.966666666666667,-0.919444444444444,-0.933333333333333,-0.841666666666667,-0.727777777777778,-0.633333333333333,-1,-0.933333333333333,-0.825,-0.666666666666667,-0.741666666666667,-0.561111111111111,-0.241666666666667,-0.4,-0.0805555555555556,-0.888888888888889,-0.716666666666667,-0.483333333333333,-0.4,-0.0805555555555556,0.0805555555555556,0.644444444444444,-0.666666666666667,-0.402777777777778,0,0,0.622222222222222,-0.283333333333333,0.0805555555555556,0.522222222222222,0.241666666666667,0.722222222222222,0.766666666666667,1
[6. 3. 1. 0. 0. 0. 0. 0. 0. 0. ],-1,-1,-1,-1,-1,-0.861111111111111,-1,-1,-1,-0.876388888888889,-1,-0.9,-0.583333333333333,-0.625,-1,-1,-0.863888888888889,-0.533333333333333,-0.891666666666667,-0.569444444444444,-0.0805555555555556,-0.561111111111111,-0.0805555555555556,-1,-0.851388888888889,-0.486111111111111,-0.530555555555556,-0,-0,0.644444444444444,-0.883333333333333,-0.530555555555556,-0,0,0.622222222222222,-0.525,0,0.622222222222222,0.0805555555555556,0.644444444444444,0.744444444444444,1
[6. 4. 0. 0. 0. 0. 0. 0. 0. 0. ],-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.866666666666667,-0.866666666666667,-1,-1,-1,-0.9,-1,-0.9,-0.5,-0.933333333333333,-0.6,-1,-1,-0.9,-0.9,-0.522222222222222,-0.622222222222222,-0,-1,-0.933333333333333,-0.622222222222222,-0.622222222222222,0,-0.933333333333333,-0.644444444444444,0,-0.644444444444444,0,0,0.8
[7. 1. 1. 1. 0. 0. 0. 0. 0. 0. ],-1,-1,-1,-1,-1,-0.94047619047619,-1,-1,-1,-0.892857142857143,-1,-0.827380952380952,-0.523809523809524,-0.355952380952381,-1,-1,-0.827380952380952,-0.523809523809524,-0.741666666666667,-0.355952380952381,0.283333333333333,-0.15,0.283333333333333,-1,-0.741666666666667,-0.355952380952381,-0.15,0.283333333333333,0.525,0.933333333333333,-0.633333333333333,-0.15,0.283333333333333,0.525,0.933333333333333,0,0.491666666666667,0.933333333333333,0.666666666666667,0.9,1,1
[7. 2. 1. 0. 0. 0. 0. 0. 0. 0. ],-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.972222222222222,-1,-0.936111111111111,-0.783333333333333,-0.708333333333333,-1,-1,-0.936111111111111,-0.758333333333333,-0.891666666666667,-0.680555555555556,-0.241666666666667,-0.561111111111111,-0.161111111111111,-1,-0.891666666666667,-0.652777777777778,-0.561111111111111,-0.161111111111111,-0,0.644444444444444,-0.838888888888889,-0.530555555555556,-0.0805555555555556,-0,0.644444444444444,-0.491666666666667,0,0.622222222222222,0.0805555555555556,0.622222222222222,0.744444444444444,1
[7. 3. 0. 0. 0. 0. 0. 0. 0. 0. ],-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.933333333333333,-0.966666666666667,-1,-1,-1,-0.9,-1,-0.933333333333333,-0.722222222222222,-0.933333333333333,-0.644444444444444,-1,-1,-0.9,-0.933333333333333,-0.622222222222222,-0.644444444444444,-0,-1,-0.9,-0.522222222222222,-0.622222222222222,-0,-0.933333333333333,-0.622222222222222,0,-0.644444444444444,0,0,0.8
[8. 1. 1. 0. 0. 0. 0. 0. 0. 0. ],-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.833333333333333,-0.783333333333333,-1,-1,-1,-0.833333333333333,-1,-0.783333333333333,-0.241666666666667,-0.727777777777778,-0.241666666666667,-1,-1,-0.783333333333333,-0.727777777777778,-0.241666666666667,-0.0805555555555556,0.644444444444444,-1,-0.727777777777778,-0.241666666666667,-0.0805555555555556,0.644444444444444,-0.666666666666667,-0.0805555555555556,0.644444444444444,0,0.622222222222222,0.722222222222222,1
[8. 2. 0. 0. 0. 0. 0. 0. 0. 0. ],-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.966666666666667,-1,-1,-1,-1,-1,-0.966666666666667,-0.766666666666667,-0.933333333333333,-0.744444444444444,-1,-1,-0.966666666666667,-0.933333333333333,-0.744444444444444,-0.644444444444444,-0,-1,-0.933333333333333,-0.722222222222222,-0.644444444444444,-0,-0.9,-0.622222222222222,-0,-0.622222222222222,0,0,0.8
[9. 1. 0. 0. 0. 0. 0. 0. 0. 0. ],-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.766666666666667,-1,-0.766666666666667,-1,-1,-1,-1,-0.766666666666667,-0.744444444444444,-0,-1,-1,-0.766666666666667,-0.744444444444444,-0,-1,-0.744444444444444,-0,-0.722222222222222,-0,0,0.8
[10. 0. 0. 0. 0. 0. 0. 0. 0. 0. ],-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.8,-1,-1,-1,-1,-0.8,-1,-1,-0.8,-1,-0.8,-0.8,0
